Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
1015,1014.1,24.1,31.2,0.8,0,0,
1015,1014.1,24.1,31.2,0.8,0,0,
1015,1014.1,24.1,31.2,0.8,0,0,
1015,1014.1,24.1,31.2,0.8,0,0,
1015,1014.1,24.1,31.3,0.8,0,0,
1015,1014.1,24.1,31.3,0.8,0,0,
1015,1014.1,24.1,31.3,0.8,0,0,
1015,1014.1,24.1,31.3,0.8,0,0,
1015,1014.1,24.1,31.4,0.8,0,0,
1015,1014.1,24.1,31.4,0.8,0,0,
1015,1014.1,24.1,31.4,0.8,10,3,
1015,1014.1,24.1,31.4,0.8,10,3,
1015,1014.1,24.1,31.5,0.8,10,4.7,
1015,1014.1,24.1,31.5,0.8,10,5.5,
1015,1014.1,24.1,31.5,0.8,10,6.3,
1015,1014.1,24.1,31.5,0.8,10,7.1,
1015,1014.1,24.1,31.5,0.8,10,8.8,
1015,1014.1,24.1,31.5,0.8,10,9.6,
1015,1014.1,24.1,31.6,0.8,10,10.4,
1015,1014.1,24.1,31.6,0.8,10,11.2,
1015,1014.1,24.1,31.6,0.8,10,12.8,
1015,1014.1,24.1,31.6,0.8,10,13.6,
1014.1,1014.1,24.1,31.6,0,10,14.2,
1011.9,1014.1,24.1,31.7,0.8,10,14.8,
1011.5,1014.1,24.1,31.7,2.5,10,15.7,
1011.2,1014.1,24.1,31.7,2.9,10,16.2,
1010.9,1014.1,24.1,31.7,3.2,10,16.6,
1011.2,1014.1,24.1,31.7,2.7,10,17.3,
1011.1,1014.1,24.1,31.7,3,10,18.3,
1010.1,1014.1,24.1,31.7,4,10,18.5,
1010.4,1014.1,24.1,31.7,3.7,10,19.1,
1009.7,1014.1,24.1,31.7,3.7,10,19.5,
1010.1,1014.1,24.1,31.7,3.9,10,20.5,
1010.3,1014.1,24.1,31.7,3.8,10,21,
1009.3,1014.1,24.1,31.7,4.8,10,21.1,
1010.3,1014.1,24.1,31.7,4.3,10,21.7,
1009.8,1014.1,24.1,31.8,4.3,10,22.6,
1009.4,1014.1,24.1,31.7,4.7,10,22.9,
1009.7,1014.1,24.1,31.8,4.4,10,23.4,
1009,1014.1,24.1,31.8,4.6,10,23.8,
1009.2,1014.1,24.1,31.8,4.8,10,24.5,
1009,1014.1,24.1,31.8,5.1,10,24.8,
1009.2,1014.1,24.1,31.8,4.9,10,25.2,
1008.3,1014.1,24.1,31.8,5,10,25.6,
1008,1014.1,24.1,31.8,6,10,25.9,
1008.2,1014.1,24.1,31.8,5.8,10,26.3,
1009.1,1014.1,24.1,31.8,5,10,26.9,
1007.4,1014.1,24.1,31.8,5.8,10,27.1,
1008.6,1014.1,24.1,31.8,5.4,10,27.7,
1007.3,1014.1,24.1,31.8,6.7,10,27.7,
1008.4,1014.1,24.1,31.8,5.7,10,28.3,
1006.9,1014.1,24.1,31.8,5.9,10,28.5,
1007.3,1014.1,24.1,31.8,6.8,10,28.9,
1007.7,1014.1,24.1,31.8,6.4,10,29.2,
1007.8,1014.1,24.1,31.8,6.3,10,29.5,
1006.6,1014.1,24.1,31.8,7,10,29.6,
1007.6,1014.1,24.1,31.8,6.5,10,30.1,
1007.8,1014.1,24.1,31.8,6.3,10,30.4,
1006.6,1014.1,24.1,31.8,7.4,10,30.4,
1006.6,1014.1,24.1,31.8,7.5,10,30.8,
1007.7,1014.1,24.1,31.8,6.4,10,31.3,
1006.2,1014.1,24.1,31.8,7.9,10,31.2,
1006.8,1014.1,24.1,31.8,7.3,10,31.5,
1007.6,1014.1,24.1,31.8,6.5,10,32.2,
1007.2,1014.1,24.1,31.8,6.9,10,32.3,
1007.3,1014.1,24.1,31.8,6.7,10,32.6,
1007.1,1014.1,24.1,31.9,6.9,10,32.7,
1007.1,1014.1,24.1,31.8,7,10,33,
1006.9,1014.1,24.1,31.9,7.1,10,33.1,
1005.5,1014.1,24.1,31.8,8.5,10,32.6,
1006.1,1014.1,24.1,31.8,8,10,33.2,
1005.8,1014.1,24.1,31.8,8.2,10,33.4,
1006.8,1014.1,24.1,31.8,7.3,10,33.9,
1006.3,1014.1,24.1,31.9,7.7,10,33.9,
1006.7,1014.1,24.1,31.8,7.3,10,34.2,
1006.7,1014.1,24.1,31.9,7.3,10,34.6,
1005.7,1014.1,24.1,31.9,8.4,10,34.3,
1005.5,1014.1,24.1,31.8,8.5,10,34.1,
1006.3,1014.1,24.1,31.8,7.7,10,34.9,
1004.8,1014.1,24.1,31.8,9.3,10,34.4,
1005.2,1014.1,24.1,31.8,8.8,10,34.5,
1005.7,1014.1,24.1,31.8,8.3,10,35.1,
1006.1,1014.1,24.1,31.8,7.9,10,35.3,
1006,1014.1,24.1,31.9,8.1,10,35.5,
1005.8,1014.1,24.1,31.9,8.2,10,35.4,
1005.7,1014.1,24.1,31.9,8.3,10,35.6,
1005.7,1014.1,24.1,31.9,8.3,10,35.7,
1006,1014.1,24.1,31.9,8,10,35.9,
1006,1014.1,24.1,31.8,8,10,36,
1005.3,1014.1,24.1,31.9,8.8,10,35.5,
1005.8,1014.1,24.1,31.9,8.2,10,36,
1004.1,1014.1,24.1,31.9,9.9,10,35.6,
1004.1,1014.1,24.1,31.9,9.9,10,35.5,
1005.9,1014.1,24.1,31.8,8.1,10,36.1,
1006,1014.1,24.1,31.9,8,10,36.4,
1004.5,1014.1,24.1,31.9,9.5,10,35.9,
1004,1014.1,24.1,31.8,10,10,35.9,
1004,1014.1,24.1,31.9,10,10,35.9,
