Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
994.1,1005.5,26.9,38.1,11.4,50,100,
983.9,1005.5,26.9,38.1,21.6,50,100,
975.4,1005.6,26.9,38.1,30.1,50,100,
960.4,1005.5,26.9,38,45.1,50,74.8,
959.1,1005.5,26.9,38,46.4,50,74.8,
956.2,1005.5,26.9,38,49.3,50,70.3,
954.4,1005.5,26.9,37.9,51.1,50,61.5,
953.8,1005.6,26.9,37.9,51.7,50,59.3,
951.8,1005.6,26.9,37.9,53.7,50,59.3,
951.8,1005.6,26.9,37.8,53.7,50,53,
951,1005.6,26.9,37.8,54.5,50,46.8,
949.7,1005.6,26.9,37.8,55.8,50,46.3,
948.3,1005.6,26.9,37.7,57.2,50,46.3,
948.2,1005.6,26.9,37.7,57.4,50,46.8,
947.8,1005.6,26.9,37.6,57.7,50,44.8,
949.3,1005.6,26.9,37.6,56.2,50,42,
947.9,1005.6,26.9,37.6,57.6,50,42,
948.3,1005.6,26.9,37.6,57.3,50,41.3,
948.2,1005.6,26.9,37.5,57.3,50,39.5,
948.8,1005.6,26.9,37.5,56.7,50,37,
949.6,1005.6,26.9,37.5,55.9,50,37,
950.3,1005.6,26.9,37.5,55.2,50,38.8,
949.7,1005.6,26.9,37.5,55.9,50,39.3,
950.7,1005.6,26.9,37.4,54.9,50,38.3,
949.5,1005.6,26.9,37.4,56,50,38.3,
949.9,1005.6,26.9,37.4,55.6,50,35.3,
950.2,1005.6,26.9,37.4,55.3,50,34.3,
952.2,1005.6,26.9,37.4,53.4,50,38.8,
951.5,1005.6,26.9,37.4,54.1,50,38.8,
951,1005.6,26.9,37.4,54.5,50,37,
951.7,1005.6,26.9,37.4,53.8,50,37.3,
950.9,1005.6,26.9,37.3,54.7,50,33.3,
952.3,1005.6,26.9,37.3,53.3,50,33.3,
951.2,1005.6,26.9,37.3,54.4,50,37,
952,1005.6,26.9,37.3,53.5,50,36,
952.7,1005.6,26.9,37.3,52.8,50,35.8,
951.6,1005.6,26.9,37.3,54,50,35.8,
953.2,1005.6,26.9,37.3,52.4,50,36.3,
953,1005.6,26.9,37.3,52.6,50,34.3,
953.3,1005.6,26.9,37.3,52.3,50,35.3,
953.4,1005.6,26.9,37.3,52.2,50,35.3,
953.2,1005.6,26.9,37.3,52.3,50,31.5,
