Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
1010.5,1012.7,23.6,31.5,2.1,100,53.3,
1006.4,1012.7,23.6,31.5,6.3,100,53.3,
1004.9,1012.7,23.6,31.5,7.8,100,62.4,
1002.2,1012.7,23.6,31.5,9.4,100,73.1,
998.2,1012.7,23.6,31.5,14.5,100,90,
994.2,1012.7,23.6,31.5,18.5,100,90,
992.5,1012.7,23.6,31.5,20.1,100,98.2,
989.2,1012.7,23.6,31.5,26.6,100,100,
985.1,1012.7,23.6,31.5,27.6,100,100,
980.6,1012.7,23.6,31.5,32,100,100,
984.6,1012.7,23.6,31.5,28.1,100,100,
984.7,1012.7,23.6,31.5,32.9,100,100,
979.2,1012.7,23.6,31.4,33.5,100,100,
984.3,1012.7,23.6,31.4,28.4,100,100,
979.1,1012.7,23.6,31.4,33.6,100,100,
978.4,1012.7,23.6,31.4,29.1,100,100,
981.8,1012.7,23.6,31.3,30.9,100,100,
977.4,1012.7,23.6,31.4,35.2,100,100,
978.6,1012.7,23.6,31.3,34.1,100,100,
974.9,1012.7,23.6,31.4,36.2,100,100,
975.1,1012.7,23.6,31.3,37.6,100,100,
971.7,1012.8,23.6,31.3,41,100,100,
975.5,1012.8,23.6,31.3,37.2,100,100,
976,1012.8,23.6,31.3,41.5,100,100,
971.1,1012.8,23.6,31.3,41.6,100,100,
976.7,1012.8,23.6,31.2,36,100,100,
971.7,1012.8,23.6,31.2,41,100,100,
972.2,1012.8,23.6,31.2,35.6,100,100,
974.6,1012.8,23.6,31.2,38.1,100,100,
971.7,1012.8,23.6,31.2,41,100,100,
970.6,1012.8,23.6,31.2,42.2,100,100,
967.3,1012.8,23.6,31.2,42.1,100,100,
970.2,1012.8,23.6,31.2,42.5,100,100,
966.5,1012.8,23.6,31.1,46.2,100,100,
971.6,1012.8,23.6,31.2,41.1,100,100,
972.5,1012.8,23.6,31.1,45.7,100,100,
967.5,1012.8,23.6,31.1,45.2,100,100,
973.1,1012.8,23.6,31.2,39.6,100,100,
968.1,1012.8,23.6,31.1,44.6,100,100,
967.7,1012.8,23.6,31.1,42.4,100,100,
965.9,1012.8,23.6,31.1,46.8,100,100,
966.5,1012.8,23.6,31.1,46.2,100,100,
963.2,1012.8,23.6,31.1,49.5,100,100,
