Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
989.5,1003,26.9,36.7,13.5,150,100,
975.8,1003,26.9,36.7,27.1,150,100,
969.6,1003,26.8,36.7,33.4,150,100,
957.9,1003,26.9,36.7,45.1,150,100,
946.5,1003,26.9,36.7,56.5,150,100,
934.5,1003,26.8,36.7,68.4,150,100,
925.3,1003,26.9,36.7,77.7,150,100,
925,1003,26.9,36.7,78,150,100,
906.6,1003,26.8,36.6,96.4,150,100,
902.7,1003,26.9,36.6,100.2,150,100,
896.9,1003,26.9,36.6,106.1,150,100,
890,1003,26.9,36.6,112.9,150,100,
882,1003,26.9,36.6,121,150,100,
873.4,1003,26.9,36.5,129.6,150,100,
865.6,1003,26.9,36.5,137.4,150,100,
865.6,1003,26.9,36.5,137.4,150,100,
854.4,1003,26.9,36.5,148.6,150,100,
848,1003,26.9,36.4,154.9,150,90.5,
850.3,1003,26.9,36.4,152.7,150,64.3,
849.1,1003,26.9,36.4,153.9,150,100,
844.1,1003,26.9,36.4,158.9,150,60,
843,1003,26.9,36.3,160,150,85.3,
842.9,1003,26.9,36.3,160.1,150,48.5,
843.7,1003,26.9,36.3,159.2,150,81.3,
841.5,1003,26.9,36.3,161.5,150,54.8,
840.1,1003,26.9,36.3,162.8,150,76.8,
840.5,1003,26.9,36.3,162.5,150,48.8,
841.8,1003,26.8,36.2,161.2,150,66.8,
841.1,1003,26.9,36.2,161.9,150,55.3,
842.2,1003,26.8,36.2,160.8,150,60.3,
842.8,1003,26.9,36.2,160.2,150,56.3,
841.2,1003,26.9,36.2,161.7,150,57.8,
839.8,1003,26.9,36.2,159.2,150,71.8,
840.2,1003,26.9,36.2,162.7,150,42.5,
841.6,1003,26.9,36.2,161.4,150,61.8,
842.9,1003,26.9,36.2,160.1,150,61.8,
842.4,1003,26.9,36.2,160.6,150,58.5,
842.4,1003,26.9,36.2,160.6,150,53.5,
842.9,1003,26.9,36.2,160.1,150,61.5,
840.9,1003,26.9,36.2,162.1,150,44,
843.9,1003,26.9,36.2,159.1,150,63.8,
842.2,1003,26.9,36.2,160.7,150,41.8,
843.1,1003,26.9,36.2,159.9,150,68.3,
