Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
995.5,1002.9,27,37.3,7.3,100,100,
982.9,1002.9,27,37.3,19.9,100,100,
966.8,1002.9,27,37.3,26,100,100,
957.1,1002.9,27,37.3,45.7,100,100,
950.7,1002.9,27,37.3,52.2,100,100,
941.9,1002.9,27,37.2,60.9,100,100,
929.9,1002.9,27,37.2,69.3,100,100,
920.6,1002.9,27,37.2,82.2,100,100,
913,1002.9,27,37.2,89.9,100,100,
910.4,1002.9,27,37.2,92.4,100,100,
896.3,1002.9,27,37.1,100.2,100,100,
887.8,1002.9,27,37.1,115,100,70.8,
889.1,1002.9,27,37.1,113.7,100,70.8,
887.5,1002.9,27,37,115.3,100,81,
884.4,1002.9,27,37,118.4,100,62.5,
884.9,1002.9,27,37,117.9,100,63,
882.4,1002.9,27,37,120.4,100,63,
883.7,1002.9,27,36.9,119.2,100,46,
883.2,1002.9,27,36.9,118.4,100,48.3,
883.5,1002.9,27,36.9,119.4,100,41.5,
885.8,1002.9,27,36.9,117,100,41.5,
886.1,1002.9,27,36.9,116.7,100,43.5,
885.8,1002.9,27,36.9,117,100,34.3,
888.5,1002.9,27,36.8,114.4,100,43.8,
887.7,1002.9,27,36.8,115.2,100,43.8,
888.2,1002.9,27,36.8,114.6,100,34,
891.6,1002.9,27,36.8,111.2,100,43,
891.5,1002.9,27,36.8,111.4,100,36,
891.8,1002.9,27,36.8,111,100,36,
892.3,1002.9,27,36.8,110.5,100,35.3,
893.4,1002.9,27,36.8,109.4,100,36.3,
894.7,1002.9,27,36.8,108.1,100,38.8,
894.6,1002.9,27,36.8,108.2,100,38.8,
895.6,1002.9,27,36.8,107.3,100,35.8,
896.9,1002.9,27,36.8,105.8,100,43.8,
897.2,1002.9,27,36.8,105.6,100,38.8,
897.7,1002.9,27,36.8,105.1,100,38.8,
896.7,1002.9,27,36.8,106.2,100,42.8,
899.2,1002.9,27,36.8,103.6,100,43.5,
899.1,1002.9,27,36.8,103.8,100,39.3,
899.6,1002.9,27,36.8,103.2,100,39.3,
898.2,1002.9,27,36.8,104.6,100,41.3,
900.3,1002.9,27,36.8,102.6,100,42.8,
