Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
997.4,1001.5,27.3,36,4.1,200,100,
987.8,1001.5,27.3,36,13.7,200,100,
973.9,1001.5,27.3,36,27.6,200,100,
970.8,1001.5,27.3,36,30.7,200,100,
948.2,1001.5,27.3,36,53.2,200,100,
945.1,1001.5,27.3,36,56.3,200,100,
934.3,1001.5,27.3,36,67.2,200,100,
926.9,1001.5,27.3,36,74.6,200,100,
915.6,1001.5,27.3,36,85.9,200,100,
907.8,1001.5,27.3,36,93.7,200,100,
897.3,1001.5,27.3,36,104.2,200,100,
898.8,1001.5,27.3,36,102.7,200,100,
881,1001.5,27.3,35.9,120.5,200,100,
878.9,1001.5,27.3,35.9,122.6,200,100,
871.8,1001.5,27.4,35.9,129.7,200,100,
866.1,1001.5,27.4,35.9,135.4,200,100,
858.4,1001.5,27.4,35.9,143.1,200,100,
850.8,1001.5,27.3,35.9,150.7,200,100,
842.8,1001.5,27.3,35.9,158.7,200,100,
843.2,1001.5,27.3,36,158.3,200,100,
831.7,1001.5,27.3,35.9,169.8,200,100,
823.9,1001.5,27.3,35.9,177.6,200,100,
825.9,1001.5,27.3,35.9,175.6,200,100,
817.7,1001.5,27.4,35.9,183.7,200,100,
810.8,1001.5,27.4,35.9,190.7,200,100,
807.4,1001.5,27.4,35.9,194.1,200,100,
803.1,1001.5,27.4,35.9,198.4,200,100,
795.4,1001.5,27.3,35.9,206.1,200,100,
790.7,1001.5,27.4,35.9,210.8,200,100,
787.6,1001.5,27.4,35.9,213.9,200,100,
782,1001.5,27.4,35.9,219.5,200,100,
783.9,1001.5,27.3,35.9,217.6,200,100,
772.4,1001.5,27.4,35.9,229,200,100,
773.4,1001.5,27.4,35.9,228.1,200,100,
769.7,1001.5,27.4,35.9,231.8,200,100,
766.8,1001.5,27.4,35.9,234.7,200,100,
764.1,1001.5,27.4,35.9,237.4,200,100,
757.1,1001.5,27.4,35.9,244.4,200,100,
755.3,1001.5,27.4,35.9,246.2,200,100,
750.1,1001.5,27.3,35.9,251.4,200,100,
747.4,1001.5,27.4,35.9,254.1,200,100,
744.8,1001.5,27.4,35.9,256.7,200,100,
741.8,1001.5,27.4,35.8,259.7,200,100,
743.5,1001.6,27.4,35.9,258,200,100,
735.1,1001.5,27.4,35.8,266.4,200,100,
736.1,1001.5,27.4,35.8,265.4,200,100,
733.1,1001.5,27.4,35.8,268.4,200,100,
730.9,1001.5,27.4,35.8,270.6,200,100,
728.7,1001.5,27.4,35.8,272.8,200,100,
725,1001.5,27.4,35.8,276.5,200,100,
720.1,1001.5,27.4,35.8,281.4,200,90.6,
723,1001.5,27.4,35.8,278.5,200,90.6,
722.9,1001.5,27.4,35.8,278.6,200,69.4,
725.4,1001.5,27.4,35.8,276.1,200,59.6,
726.5,1001.5,27.4,35.8,275,200,48.2,
731.3,1001.6,27.4,35.8,270.2,200,48.2,
737,1001.6,27.4,35.8,264.5,200,36.2,
739.6,1001.5,27.4,35.9,261.9,200,32.3,
743.5,1001.6,27.4,35.8,258,200,27.4,
747.4,1001.5,27.4,35.8,254.1,200,27.4,
754,1001.5,27.4,35.9,247.5,200,21.9,
757.4,1001.5,27.4,35.9,244.1,200,20.8,
761.7,1001.5,27.4,35.9,239.8,200,19.5,
764.6,1001.5,27.4,35.9,236.9,200,19.5,
772,1001.5,27.4,35.9,229.5,200,18.8,
774.9,1001.5,27.4,35.9,226.6,200,20.6,
778.1,1001.5,27.4,35.9,223.4,200,20.4,
781.2,1001.5,27.4,35.9,220.3,200,20.4,
787.6,1001.5,27.4,35.9,213.9,200,24.4,
789.6,1001.5,27.4,36,211.9,200,27.4,
792.7,1001.5,27.4,36,208.8,200,29.6,
794.3,1001.5,27.4,36,207.2,200,29.6,
798.6,1001.5,27.4,36,202.9,200,34.8,
800.7,1001.5,27.4,36,200.8,200,39.3,
801.3,1001.5,27.4,36,200.2,200,38.6,
802.8,1001.5,27.3,36,198.7,200,38.6,
805.5,1001.5,27.4,36.1,196,200,43.7,
807.7,1001.5,27.4,36.1,193.8,200,49,
806.8,1001.5,27.4,36.1,194.7,200,48,
808.7,1001.5,27.4,36.1,192.8,200,48,
808.9,1001.5,27.3,36.1,192.6,200,56,
810.6,1001.5,27.3,36.1,190.9,200,57.2,
809.5,1001.5,27.4,36.2,192,200,56.9,
810.4,1001.5,27.4,36.2,191.1,200,56.9,
809.3,1001.5,27.3,36.2,192.2,200,59.7,
808.6,1001.5,27.4,36.1,192.9,200,59.5,
810,1001.5,27.3,36.1,191.5,200,63,
811.3,1001.5,27.4,36.1,190.2,200,63,
810.5,1001.5,27.3,36.1,191,200,62.8,
807.8,1001.5,27.3,36.1,193.7,200,63.7,
809.9,1001.5,27.3,36.1,191.6,200,68.1,
808.2,1001.5,27.3,36.1,193.3,200,68.1,
807,1001.5,27.4,36.1,194.5,200,64.8,
808.4,1001.5,27.3,36.1,193.1,200,69,
806.2,1001.5,27.4,36.1,195.3,200,66.2,
805.4,1001.5,27.3,36.1,196.1,200,66.2,
804,1001.5,27.3,36.1,197.4,200,66,
806.4,1001.5,27.3,36.1,195.1,200,69.2,
804,1001.5,27.3,36.1,197.5,200,65.8,
805.2,1001.5,27.3,36.1,196.3,200,65.8,
803,1001.5,27.4,36.1,198.5,200,63.2,
802,1001.5,27.4,36.1,199.5,200,63.5,
802.8,1001.5,27.3,36.1,198.7,200,63.5,
801.8,1001.5,27.3,36.1,199.7,200,63.5,
802.6,1001.5,27.4,36.1,198.9,200,68.5,
802.1,1001.5,27.3,36.1,199.4,200,63.4,
802,1001.5,27.3,36.1,199.5,200,64,
801.1,1001.5,27.3,36.1,200.4,200,64,
803.1,1001.5,27.4,36.1,198.4,200,64,
801.6,1001.6,27.4,36.1,199.9,200,64,
801.6,1001.5,27.4,36.1,199.9,200,64,
801.4,1001.6,27.4,36.1,200.1,200,64,
801.5,1001.5,27.4,36.1,200,200,64,
802.9,1001.5,27.3,36.1,198.6,200,64,
801,1001.5,27.3,36.1,200.5,200,64,
800.8,1001.5,27.4,36.1,200.7,200,64,
799.6,1001.5,27.3,36.1,201.9,200,64,
800.5,1001.5,27.4,36.1,201,200,64,
802.2,1001.5,27.3,36.1,199.3,200,64,
800.4,1001.5,27.4,36.1,201.1,200,64,
800.2,1001.5,27.4,36.1,201.3,200,64,
799.4,1001.5,27.4,36.1,202.1,200,60.6,
801.4,1001.5,27.4,36.1,200.1,200,64,
799.6,1001.5,27.3,36.1,201.9,200,64,
800.3,1001.5,27.4,36.1,201.2,200,59.7,
800.6,1001.5,27.4,36.1,200.9,200,63.7,
800.7,1001.5,27.4,36.1,200.8,200,63.2,
801.9,1001.5,27.4,36.1,199.6,200,63.2,
801.8,1001.5,27.4,36.2,199.7,200,63.2,
799.5,1001.5,27.4,36.2,202,200,59.9,
801.3,1001.5,27.4,36.2,200.2,200,63.3,
800.9,1001.5,27.4,36.2,200.6,200,63.3,
799.7,1001.5,27.4,36.2,201.8,200,62.9,
800.9,1001.5,27.3,36.2,200.6,200,62.9,
801.8,1001.5,27.4,36.2,199.7,200,62.9,
801,1001.5,27.3,36.2,200.5,200,62.9,
800.6,1001.5,27.3,36.2,200.9,200,62.9,
802.3,1001.5,27.3,36.2,199.2,200,62.9,
799.7,1001.5,27.4,36.2,201.8,200,59.9,
800.5,1001.5,27.4,36.2,201,200,59.9,
800.9,1001.5,27.4,36.2,200.6,200,62.6,
801,1001.5,27.4,36.2,200.5,200,62.6,
800.9,1001.5,27.4,36.2,200.6,200,62.6,
802.5,1001.5,27.3,36.2,199,200,62.6,
800.2,1001.5,27.4,36.2,201.3,200,62.6,
801.2,1001.6,27.4,36.2,200.3,200,62.6,
801.4,1001.5,27.4,36.2,200.1,200,62.6,
801.1,1001.5,27.4,36.2,200.4,200,62.6,
800.7,1001.6,27.3,36.1,200.8,200,65.1,
800.9,1001.6,27.4,36.1,200.6,200,62.6,
802.4,1001.6,27.4,36.1,199.1,200,62.9,
799.9,1001.6,27.3,36.1,201.6,200,62.9,
801,1001.5,27.3,36.1,200.5,200,62.9,
803.1,1001.5,27.4,36.1,198.4,200,65.1,
802.6,1001.6,27.4,36.1,198.9,200,62.6,
801.2,1001.6,27.4,36.1,200.3,200,62.6,
802.3,1001.6,27.4,36.1,199.2,200,62.9,
799.9,1001.6,27.4,36.1,201.6,200,60.3,
801,1001.5,27.4,36.1,200.5,200,62.9,
801.6,1001.6,27.4,36.1,199.9,200,62.9,
802.8,1001.5,27.4,36.1,198.7,200,62.6,
801.6,1001.6,27.4,36.1,199.9,200,62.6,
800.2,1001.6,27.4,36.1,201.3,200,62.6,
801.5,1001.6,27.4,36.1,200,200,62.6,
801.2,1001.6,27.4,36.1,200.3,200,62.6,
803.2,1001.5,27.4,36.1,198.3,200,65.2,
802.6,1001.6,27.3,36.1,198.9,200,62.6,
801.2,1001.6,27.4,36.1,200.3,200,62.6,
801.9,1001.5,27.4,36.1,199.6,200,62.9,
801,1001.6,27.4,36.1,200.5,200,62.9,
801,1001.5,27.4,36.1,200.5,200,62.9,
802.6,1001.5,27.4,36.1,198.9,200,62.9,
800.9,1001.5,27.4,36.1,200.6,200,62.9,
800.9,1001.6,27.4,36.1,200.6,200,62.9,
802.2,1001.6,27.4,36,199.3,200,62.9,
800,1001.6,27.4,36.1,201.5,200,62.9,
801.2,1001.5,27.4,36.1,200.3,200,62.9,
802.6,1001.5,27.4,36.1,198.9,200,62.6,
802.5,1001.5,27.4,36.1,199,200,62.6,
800.2,1001.5,27.4,36.1,201.3,200,62.6,
801.4,1001.5,27.3,36.1,200.1,200,62.6,
801,1001.5,27.4,36,200.5,200,62.6,
803.1,1001.5,27.4,36.1,198.4,200,65,
801,1001.5,27.4,36.1,200.5,200,62.6,
800.9,1001.5,27.4,36.1,200.6,200,62.8,
802.2,1001.5,27.4,36.1,199.3,200,62.8,
800.4,1001.5,27.4,36.1,201.1,200,62.8,
