Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
991.8,1002.4,27.2,35.9,10.5,150,100,
968,1002.4,27.2,36,34.3,150,100,
956.5,1002.4,27.2,36,45.9,150,100,
953.9,1002.4,27.2,36,48.4,150,100,
944.3,1002.4,27.2,36,58,150,100,
931.7,1002.4,27.2,36,70.7,150,100,
924,1002.4,27.2,36,78.4,150,100,
916.8,1002.4,27.2,36,85.6,150,100,
913.4,1002.4,27.2,36,88.9,150,100,
896.4,1002.4,27.2,36,106,150,100,
897.7,1002.4,27.2,35.9,104.6,150,100,
888.9,1002.4,27.2,35.9,113.5,150,100,
880.2,1002.4,27.2,35.9,122.1,150,100,
873,1002.4,27.2,35.9,129.4,150,100,
865.6,1002.4,27.2,35.9,136.7,150,100,
866.6,1002.4,27.2,35.9,135.8,150,100,
859.1,1002.4,27.2,35.9,143.2,150,100,
847.2,1002.4,27.2,35.9,155.1,150,100,
849.5,1002.4,27.2,35.9,152.8,150,100,
841.3,1002.4,27.2,35.9,161.1,150,100,
836.1,1002.4,27.2,35.9,166.2,150,100,
832.3,1002.4,27.2,35.8,170.1,150,100,
825.7,1002.4,27.2,35.8,176.7,150,100,
819.6,1002.4,27.2,35.8,182.7,150,100,
820,1002.4,27.2,35.8,182.3,150,100,
811.8,1002.4,27.2,35.8,190.6,150,100,
804.6,1002.4,27.2,35.8,197.7,150,100,
806.4,1002.4,27.2,35.8,195.9,150,100,
801.4,1002.4,27.2,35.8,201,150,100,
791.3,1002.4,27.2,35.7,211.1,150,100,
793.7,1002.4,27.2,35.7,208.7,150,98.5,
791,1002.4,27.2,35.7,211.3,150,36.3,
794.9,1002.4,27.2,35.7,207.4,150,5,
807,1002.4,27.2,35.6,195.3,150,0,
812.4,1002.4,27.2,35.6,189.9,150,0,
817.5,1002.4,27.2,35.7,184.8,150,0,
822.4,1002.4,27.2,35.7,179.9,150,0,
831.6,1002.4,27.2,35.7,170.7,150,0,
836,1002.4,27.2,35.7,166.3,150,0,
840.3,1002.4,27.2,35.7,162.1,150,0,
844.4,1002.4,27.2,35.7,157.9,150,0,
852.4,1002.4,27.2,35.8,149.9,150,17,
854.2,1002.4,27.2,35.8,148.1,150,26.8,
854.9,1002.4,27.2,35.8,147.4,150,32,
855.7,1002.4,27.2,35.8,146.6,150,38.5,
855.9,1002.4,27.2,35.9,146.4,150,45.3,
856.3,1002.4,27.2,35.9,146,150,50,
857.5,1002.4,27.2,35.9,144.8,150,59.5,
857.5,1002.4,27.2,35.9,144.9,150,62.5,
856.9,1002.4,27.2,35.9,145.4,150,64.8,
854.8,1002.4,27.2,35.9,147.5,150,55.3,
853.9,1002.4,27.2,35.9,148.4,150,52.5,
854.3,1002.4,27.2,35.9,148.1,150,55.8,
853.5,1002.4,27.2,35.9,148.9,150,53.8,
855.8,1002.4,27.2,35.9,146.5,150,66.8,
855.1,1002.4,27.2,36,147.3,150,64.5,
854.8,1002.4,27.2,35.9,147.5,150,63.8,
850.9,1002.4,27.2,36,151.4,150,46,
852.2,1002.4,27.2,36,150.1,150,52,
852.7,1002.4,27.2,36,149.6,150,55.5,
852.4,1002.4,27.2,36,149.9,150,54.3,
852.7,1002.4,27.2,35.9,149.6,150,55.5,
852.5,1002.4,27.2,35.9,149.9,150,54.5,
852.7,1002.4,27.2,35.9,149.6,150,56.3,
854,1002.4,27.2,35.9,148.4,150,62.8,
854.1,1002.4,27.2,35.9,148.3,150,64,
851.7,1002.4,27.2,35.9,150.7,150,51.5,
854.2,1002.4,27.2,35.9,148.1,150,64.5,
853,1002.4,27.2,35.9,149.4,150,59.3,
852.2,1002.4,27.2,35.9,150.2,150,54.8,
850.1,1002.4,27.2,35.9,152.3,150,44.3,
852.8,1002.4,27.2,35.9,149.5,150,57.8,
851.2,1002.4,27.2,35.9,151.1,150,49.8,
851.2,1002.4,27.2,35.9,151.1,150,50,
852.3,1002.4,27.2,35.9,150,150,55.5,
851.4,1002.4,27.2,35.9,151,150,50.8,
852.5,1002.4,27.2,35.9,149.8,150,56.3,
853.6,1002.4,27.2,35.9,148.8,150,61.3,
852.2,1002.4,27.2,35.9,150.2,150,53.8,
852.2,1002.4,27.2,35.9,150.1,150,54,
854.2,1002.4,27.2,35.9,148.2,150,64,
853.3,1002.4,27.2,35.9,149.1,150,59.5,
853.5,1002.4,27.2,35.9,148.9,150,61.3,
851,1002.4,27.2,35.9,151.3,150,48.8,
852.9,1002.4,27.2,35.9,149.5,150,57.3,
854.3,1002.4,27.2,35.9,148.1,150,64.5,
851.5,1002.4,27.2,35.9,150.8,150,50.8,
851.9,1002.4,27.2,35.9,150.4,150,52.3,
853.4,1002.4,27.2,35.9,149,150,59.5,
852,1002.4,27.2,35.9,150.3,150,52.8,
853.9,1002.4,27.2,35.9,148.4,150,63,
852.9,1002.4,27.2,35.9,149.5,150,58.5,
852.4,1002.4,27.2,35.9,149.9,150,56,
852.6,1002.4,27.2,35.9,149.7,150,56.5,
851.9,1002.4,27.2,35.9,150.5,150,52.3,
851,1002.4,27.2,35.9,151.3,150,48.3,
853.7,1002.4,27.2,35.9,148.6,150,61.5,
853.7,1002.4,27.2,35.9,148.7,150,61,
852.2,1002.4,27.2,35.9,150.1,150,53.5,
854.5,1002.4,27.2,35.9,147.9,150,65,
850.5,1002.4,27.2,35.9,151.8,150,45.8,
853.5,1002.4,27.2,35.9,148.9,150,60,
