Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
1000,1009.9,24.8,36.4,9.9,50,95.8,
988.3,1009.9,24.8,36.4,16.5,50,77,
983.6,1009.9,24.8,36.3,26.2,50,77,
980,1009.9,24.8,36.3,29.8,50,77,
976.8,1009.9,24.8,36.3,33.1,50,77,
970.7,1009.9,24.8,36.3,34.5,50,75.8,
968.3,1009.9,24.8,36.3,41.6,50,72.8,
968.4,1009.9,24.8,36.3,41.5,50,74.3,
966.1,1009.9,24.7,36.2,43.8,50,74.3,
964.9,1009.9,24.8,36.2,46.8,50,72.3,
961.5,1009.9,24.8,36.2,48.4,50,70.8,
959.3,1009.9,24.8,36.1,50.5,50,69.3,
958.3,1009.9,24.8,36.1,51.6,50,69.3,
957.6,1009.9,24.7,36.1,51,50,69.5,
956.5,1009.9,24.8,36,53.4,50,66.8,
955.5,1009.9,24.8,36,54.3,50,65.8,
954.9,1009.9,24.8,36,54.9,50,65.8,
956.1,1009.9,24.8,35.9,53.7,50,67,
957,1009.9,24.8,35.9,52.8,50,65.5,
954.7,1009.9,24.8,35.9,55.2,50,63.3,
954.3,1009.9,24.8,35.9,55.6,50,63.3,
952.7,1009.9,24.8,35.8,53.7,50,62.3,
955.9,1009.9,24.8,35.8,54,50,62.5,
952.4,1009.9,24.8,35.8,57.5,50,59.3,
953.7,1009.9,24.8,35.8,56.2,50,59.3,
953.9,1009.9,24.8,35.7,54.7,50,61.5,
954.8,1009.9,24.8,35.7,55,50,59.3,
954.9,1009.9,24.8,35.7,55,50,58.8,
954.3,1009.9,24.8,35.7,55.6,50,58.8,
956.6,1009.9,24.8,35.7,53.6,50,57.3,
956.6,1009.9,24.8,35.6,53.3,50,58,
954.3,1009.9,24.8,35.6,55.6,50,55.8,
955.8,1009.9,24.8,35.6,54.1,50,55.8,
955.3,1009.9,24.8,35.6,54.3,50,56.5,
957.9,1009.9,24.8,35.5,52,50,57,
958.3,1009.9,24.8,35.5,51.5,50,57,
958.5,1009.9,24.8,35.5,51.4,50,57,
956.9,1009.9,24.8,35.5,54.1,50,55.8,
955.9,1009.9,24.8,35.5,54,50,54.3,
956.3,1009.9,24.8,35.4,53.6,50,54.3,
957.4,1009.9,24.8,35.4,52.5,50,54.3,
959.3,1009.9,24.8,35.4,52.5,50,54,
958.9,1009.9,24.8,35.4,51,50,55,
957.8,1009.9,24.8,35.4,52.1,50,53.8,
959.2,1009.9,24.8,35.4,50.7,50,53.8,
958.3,1009.9,24.8,35.4,52.1,50,54.5,
958.9,1009.9,24.8,35.3,51,50,54.3,
958.1,1009.9,24.8,35.4,51.8,50,53.5,
958.7,1009.9,24.8,35.3,51.2,50,53.8,
959,1009.9,24.8,35.3,48.5,50,53.8,
960.6,1010,24.8,35.3,49.3,50,55.3,
958.3,1009.9,24.8,35.3,51.6,50,53.5,
959.5,1009.9,24.8,35.3,50.4,50,54.3,
960.9,1010,24.8,35.2,48.6,50,54.3,
960.4,1010,24.8,35.3,49.5,50,54.8,
960.5,1009.9,24.8,35.2,49.4,50,54.8,
959.1,1009.9,24.8,35.2,50.8,50,54.8,
961.6,1009.9,24.8,35.2,48,50,55.5,
959.5,1009.9,24.8,35.2,50.4,50,54.3,
959.5,1009.9,24.8,35.2,50.4,50,54,
961,1009.9,24.8,35.2,48.9,50,54,
959.3,1009.9,24.8,35.2,48.4,50,53.5,
960.3,1009.9,24.8,35.2,49.6,50,54.5,
959,1009.9,24.8,35.2,50.9,50,53.5,
961.8,1009.9,24.8,35.1,48.1,50,56,
958.8,1009.9,24.8,35.1,48.1,50,56,
958.9,1009.9,24.8,35.1,50.9,50,53.8,
961.4,1009.9,24.8,35.1,48.5,50,55.5,
961,1009.9,24.8,35.1,48.9,50,55.5,
959.8,1009.9,24.8,35.1,50.7,50,54.3,
959.8,1009.9,24.8,35.1,50.1,50,54.5,
959.8,1009.9,24.8,35.1,50,50,54.5,
959.8,1009.9,24.8,35,50.1,50,54.5,
961.3,1009.9,24.8,35,50.8,50,54,
961.4,1009.9,24.8,35,48.5,50,55.5,
959.2,1009.9,24.8,35,50.7,50,53.8,
958.9,1009.9,24.8,35,51,50,53.8,
961,1009.9,24.8,35,48.3,50,54,
958.9,1009.9,24.8,34.9,51,50,53.8,
959,1009.9,24.8,34.9,50.9,50,53.8,
961.4,1009.9,24.8,35,48.5,50,53.8,
958.5,1009.9,24.8,34.9,48.7,50,55.8,
961.6,1009.9,24.8,34.9,48.3,50,55.8,
959.1,1010,24.8,34.9,50.8,50,53.8,
959.4,1010,24.8,34.9,50.5,50,53.8,
960.9,1010,24.8,34.9,48.8,50,54,
959.7,1010,24.8,34.9,50.2,50,54.3,
959,1010,24.8,34.9,50.9,50,53.5,
958.7,1010,24.8,34.8,51.2,50,53.3,
959.8,1010,24.8,34.9,48.9,50,53.3,
961.1,1010,24.8,34.8,48.8,50,55,
961.6,1010,24.8,34.8,48.3,50,55.5,
959.6,1010,24.8,34.8,50.4,50,55.5,
961.5,1010,24.8,34.8,51.2,50,53.3,
960.1,1009.9,24.8,34.8,49.8,50,54.3,
958.6,1010,24.8,34.8,51.3,50,53,
961.5,1009.9,24.8,34.8,48.4,50,53,
961.3,1009.9,24.8,34.8,50.8,50,55.5,
959,1009.9,24.8,34.8,50.9,50,53.5,
961.3,1009.9,24.8,34.8,48.5,50,55.5,
959.3,1009.9,24.8,34.7,50.6,50,55.5,
961.2,1009.9,24.8,34.7,50.6,50,53.8,
959.2,1009.9,24.8,34.7,50.6,50,53.8,
959,1009.9,24.8,34.7,50.9,50,53.3,
960.7,1009.9,24.8,34.7,49.1,50,53.3,
960.7,1009.9,24.8,34.7,51.1,50,55.3,
961,1009.9,24.8,34.7,48.9,50,55,
958.1,1009.9,24.8,34.7,51.7,50,52.8,
961.2,1009.9,24.8,34.7,48.7,50,52.8,
961.3,1009.9,24.8,34.7,48.6,50,53.8,
960.3,1009.9,24.8,34.6,49.5,50,54.5,
958.7,1009.9,24.8,34.7,51.1,50,53,
959.3,1009.9,24.8,34.7,50.6,50,53,
959.1,1009.9,24.8,34.6,49.9,50,53.5,
961.6,1009.9,24.8,34.6,48.3,50,55.3,
960.6,1010,24.8,34.7,49.3,50,54.5,
961.2,1010,24.8,34.6,48.7,50,54.5,
960.1,1010,24.8,34.6,48.7,50,52.5,
961.1,1010,24.8,34.6,48.8,50,54.8,
960.8,1010,24.8,34.6,49.1,50,54.5,
960.8,1010,24.8,34.6,49.2,50,54.5,
958.8,1010,24.8,34.6,49.8,50,54.5,
958.6,1010,24.8,34.6,51.3,50,53,
958.4,1010,24.8,34.6,51.5,50,52.8,
959.7,1010,24.8,34.6,50.2,50,52.8,
958.8,1010,24.8,34.6,49.1,50,53,
959.6,1010,24.8,34.5,50.3,50,53.5,
958.6,1010,24.8,34.5,51.3,50,52.5,
959.9,1010,24.8,34.5,50,50,52.5,
958.4,1010,24.8,34.5,48.8,50,53,
961.1,1010,24.8,34.5,48.8,50,54.3,
959.9,1009.9,24.8,34.5,50,50,53.5,
959.5,1010,24.8,34.5,50.4,50,53.3,
958.5,1009.9,24.8,34.5,51.4,50,54,
958.1,1009.9,24.8,34.5,51.8,50,52,
958.7,1009.9,24.8,34.5,51.2,50,52.5,
960.1,1009.9,24.8,34.5,49.8,50,52.5,
959.3,1009.9,24.8,34.5,50.6,50,53.5,
960.9,1009.9,24.8,34.5,49,50,54,
959.1,1009.9,24.8,34.5,50.8,50,52.5,
960.1,1009.9,24.8,34.5,49.8,50,52.5,
964.6,1009.9,24.8,34.5,45.3,50,0,
