Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
1000.1,1002.9,26.1,30.7,2.8,0,34,
994.8,1002.9,26.1,30.7,4.8,0,34,
982,1002.9,26,30.8,20.8,0,100,
979.6,1002.9,26.1,30.8,23.2,0,100,
967.3,1002.9,26.1,30.8,35.5,0,100,
952.7,1002.9,26.1,30.8,43.7,0,100,
943.9,1002.9,26,30.9,59,0,100,
944.8,1002.9,26,30.9,58.1,0,100,
935,1002.9,26.1,30.9,67.8,0,100,
938.3,1002.9,26.1,30.9,73.8,0,0,
943.4,1002.9,26.1,30.9,59.4,0,0,
947.8,1002.9,26,30.9,55,0,100,
938.5,1002.9,26.1,30.9,64.3,0,100,
926,1002.9,26.1,30.9,73,0,100,
917.9,1002.9,26,30.9,84.9,0,100,
921.7,1002.9,26.1,31,81.1,0,0,
927.8,1002.9,26.1,31,75,0,0,
