Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
1006.8,1006.4,25.7,35.6,0.4,100,100,
982.2,1006.4,25.6,35.6,24.2,100,100,
971.6,1006.4,25.6,35.6,34.8,100,100,
970.9,1006.4,25.6,35.5,35.4,100,100,
959.5,1006.4,25.6,35.6,46.9,100,100,
949.4,1006.4,25.6,35.5,56.9,100,100,
940.9,1006.4,25.6,35.5,65.4,100,100,
931.2,1006.4,25.6,35.5,75.2,100,100,
932.9,1006.4,25.7,35.5,73.5,100,100,
915.6,1006.4,25.6,35.4,90.8,100,100,
918.1,1006.4,25.7,35.4,88.2,100,100,
908.7,1006.4,25.7,35.4,97.6,100,92.9,
909.7,1006.4,25.6,35.4,96.7,100,96.8,
899.5,1006.4,25.7,35.4,106.9,100,86.8,
900.3,1006.4,25.6,35.3,106.1,100,84.1,
898.6,1006.4,25.7,35.3,107.8,100,80,
896.9,1006.4,25.6,35.3,109.4,100,77,
894.8,1006.4,25.6,35.2,111.5,100,73.1,
894,1006.4,25.6,35.2,112.4,100,72.3,
894.1,1006.4,25.6,35.2,112.3,100,68.1,
894.5,1006.4,25.6,35.2,111.9,100,66.7,
896.1,1006.4,25.6,35.2,110.3,100,63.8,
894,1006.4,25.7,35.2,112.4,100,60.9,
895.2,1006.4,25.6,35.1,111.2,100,61.5,
896.7,1006.4,25.6,35.2,109.7,100,61.6,
894.8,1006.4,25.6,35.1,111.6,100,59.5,
896.8,1006.4,25.6,35.1,109.6,100,55.7,
898.2,1006.4,25.6,35,108.1,100,53.8,
899.2,1006.4,25.6,35.1,107.2,100,58.3,
900.1,1006.4,25.6,35.1,106.3,100,56,
900.1,1006.4,25.6,35.1,106.2,100,53.4,
900.3,1006.4,25.6,35.1,106.1,100,55.5,
898,1006.4,25.6,35,108.4,100,50.7,
900.9,1006.4,25.7,35,105.5,100,55.5,
902.2,1006.4,25.6,35,104.2,100,53.9,
901.1,1006.4,25.6,35,105.3,100,54.2,
901.4,1006.4,25.7,35,105,100,51.7,
902.6,1006.4,25.6,35,103.8,100,52.3,
903.6,1006.4,25.7,35,102.8,100,53.9,
902.8,1006.4,25.6,35,103.6,100,53.9,
903.8,1006.4,25.7,35,102.6,100,52.6,
905,1006.4,25.7,35,101.4,100,52.4,
905.4,1006.4,25.6,35,101,100,55.8,
905.7,1006.4,25.6,34.9,100.6,100,55.4,
906.2,1006.4,25.6,34.9,100.2,100,55.4,
907.5,1006.4,25.7,34.9,98.9,100,52.5,
905.4,1006.4,25.7,35,101,100,55.4,
906.3,1006.5,25.6,34.9,100.1,100,55.1,
907.7,1006.4,25.6,34.9,98.7,100,55.1,
905.1,1006.4,25.6,34.9,101.3,100,55.1,
905.6,1006.4,25.6,34.9,100.8,100,55.1,
905.7,1006.4,25.7,34.9,100.7,100,55.1,
907.2,1006.4,25.6,34.9,99.2,100,55.1,
906,1006.4,25.6,34.9,100.4,100,52.3,
907.8,1006.4,25.6,34.9,98.6,100,55.1,
906.1,1006.4,25.6,34.9,100.3,100,54.8,
906,1006.5,25.6,34.9,100.4,100,54.8,
907.1,1006.4,25.6,34.8,99.3,100,54.8,
908.2,1006.4,25.6,34.8,98.2,100,58.1,
906.3,1006.4,25.6,34.8,100.1,100,54.8,
906.1,1006.5,25.6,34.8,100.3,100,55.1,
906.1,1006.5,25.7,34.8,100.3,100,55.1,
907.3,1006.5,25.6,34.8,99.1,100,57.7,
904.7,1006.5,25.7,34.8,101.7,100,55.1,
905.3,1006.5,25.6,34.8,101.1,100,55.4,
906.5,1006.4,25.6,34.8,99.9,100,55.4,
905.2,1006.5,25.6,34.8,101.2,100,55.4,
907.3,1006.5,25.7,34.8,99.1,100,57.9,
904.6,1006.5,25.6,34.8,101.8,100,52.6,
907.2,1006.5,25.6,34.8,99.2,100,55.7,
905.7,1006.5,25.7,34.8,100.7,100,55.4,
906,1006.5,25.6,34.8,100.4,100,55.4,
907,1006.5,25.7,34.8,99.4,100,55.4,
905.3,1006.5,25.7,34.8,101.1,100,55.4,
907,1006.5,25.7,34.7,99.4,100,55.4,
905.6,1006.5,25.6,34.7,100.9,100,55.4,
905.3,1006.5,25.6,34.7,101.1,100,55.4,
905.6,1006.5,25.7,34.7,100.8,100,55.4,
905.5,1006.5,25.6,34.7,100.9,100,55.4,
906.7,1006.5,25.7,34.7,99.7,100,55.4,
904.7,1006.5,25.6,34.7,101.7,100,52.7,
906.4,1006.5,25.6,34.7,100,100,55.4,
907.8,1006.5,25.6,34.7,98.6,100,55.1,
907.5,1006.5,25.6,34.7,98.9,100,55.1,
904.2,1006.5,25.7,34.7,102.2,100,51.8,
907.8,1006.5,25.7,34.7,98.6,100,55.1,
905.5,1006.5,25.6,34.7,100.9,100,54.7,
906.8,1006.5,25.6,34.7,99.6,100,54.7,
907.5,1006.5,25.6,34.7,98.9,100,54.7,
907.7,1006.5,25.6,34.7,98.7,100,54.7,
907.4,1006.5,25.7,34.7,99,100,54.7,
907,1006.5,25.7,34.7,99.4,100,54.7,
907.4,1006.5,25.6,34.7,99,100,54.7,
908.1,1006.5,25.6,34.7,98.3,100,54.7,
907.4,1006.5,25.7,34.7,99,100,54.7,
907.2,1006.5,25.7,34.7,99.3,100,54.7,
906,1006.5,25.7,34.7,100.4,100,54.7,
905.9,1006.5,25.6,34.7,100.5,100,54.7,
906.4,1006.5,25.6,34.7,100,100,54.7,
906,1006.5,25.6,34.7,100.4,100,54.7,
905.3,1006.5,25.6,34.7,101.2,100,54.7,
904.9,1006.5,25.7,34.7,101.5,100,52.4,
906.9,1006.5,25.6,34.7,99.5,100,54.7,
907.9,1006.5,25.6,34.7,98.6,100,54.5,
907.2,1006.5,25.6,34.7,99.3,100,54.5,
905.8,1006.5,25.6,34.7,100.6,100,54.5,
906.2,1006.5,25.6,34.7,100.2,100,54.5,
905.5,1006.5,25.7,34.7,100.9,100,54.5,
905.1,1006.5,25.7,34.7,101.3,100,54.5,
907.4,1006.5,25.6,34.7,99,100,54.5,
907.9,1006.5,25.6,34.7,98.5,100,54.5,
905.4,1006.5,25.6,34.7,101,100,54.5,
906.3,1006.5,25.6,34.7,100.1,100,54.5,
906,1006.5,25.6,34.7,100.4,100,52.2,
907.7,1006.5,25.6,34.7,98.7,100,54.5,
908.2,1006.5,25.6,34.7,98.2,100,54.2,
906,1006.5,25.7,34.7,100.5,100,54.2,
904.6,1006.5,25.7,34.7,101.8,100,54.2,
907.6,1006.5,25.6,34.7,98.8,100,54.2,
907.4,1006.5,25.6,34.7,99,100,54.2,
906.5,1006.5,25.7,34.7,99.9,100,54.2,
904.7,1006.5,25.6,34.7,101.7,100,54.2,
907.5,1006.5,25.6,34.7,99,100,54.2,
907.3,1006.5,25.6,34.7,99.1,100,54.2,
906.2,1006.5,25.6,34.6,100.2,100,54.2,
905.9,1006.5,25.6,34.6,100.5,100,51.9,
908.1,1006.5,25.7,34.6,98.3,100,54.2,
906.4,1006.5,25.6,34.6,100,100,54,
906.1,1006.5,25.6,34.6,100.3,100,54,
906.3,1006.5,25.6,34.6,100.2,100,54,
905.2,1006.5,25.7,34.6,101.3,100,54,
905.6,1006.5,25.7,34.6,100.8,100,54,
907.6,1006.5,25.6,34.6,98.9,100,54,
904.8,1006.5,25.6,34.6,101.6,100,54,
906.3,1006.5,25.6,34.6,100.1,100,51.3,
906.6,1006.5,25.6,34.6,99.8,100,54,
905.1,1006.5,25.6,34.6,101.3,100,53.6,
905.7,1006.5,25.6,34.6,100.8,100,56.3,
905,1006.5,25.6,34.6,101.4,100,53.6,
904.5,1006.5,25.6,34.6,101.9,100,53.9,
906.8,1006.5,25.6,34.6,99.6,100,53.9,
905.6,1006.5,25.6,34.6,100.8,100,53.9,
907.5,1006.5,25.7,34.6,99,100,53.9,
905.5,1006.5,25.7,34.6,100.9,100,53.9,
904.7,1006.5,25.7,34.6,101.7,100,51.3,
907.9,1006.5,25.6,34.6,98.5,100,0,
