Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
1003.8,1006.6,25.8,35.3,2.8,50,100,
1001.4,1006.6,25.8,35.3,5.2,50,75,
998.9,1006.6,25.8,35.3,7.7,50,84.4,
989.1,1006.6,25.8,35.2,17.5,50,60.8,
985.3,1006.6,25.8,35.3,21.2,50,55.5,
980.8,1006.6,25.8,35.3,25.8,50,56,
979.1,1006.6,25.8,35.3,27.5,50,53.1,
974,1006.6,25.8,35.3,32.6,50,42.6,
973.5,1006.6,25.8,35.3,33.1,50,52.4,
971.6,1006.6,25.8,35.3,34.9,50,37.2,
969.5,1006.6,25.8,35.3,37,50,43.6,
967.5,1006.6,25.8,35.2,39,50,47.1,
965.7,1006.6,25.8,35.2,40.9,50,32.3,
965.7,1006.6,25.8,35.2,40.9,50,42.7,
965,1006.6,25.8,35.2,41.5,50,36.4,
963.7,1006.6,25.8,35.3,42.9,50,33.9,
963.7,1006.6,25.8,35.3,42.8,50,37.7,
963.1,1006.6,25.8,35.3,43.5,50,39.5,
961.3,1006.6,25.8,35.3,45.3,50,28.9,
960.8,1006.6,25.8,35.3,45.8,50,39.9,
961.6,1006.6,25.8,35.3,44.9,50,29.8,
961.3,1006.6,25.8,35.3,45.3,50,34.7,
960,1006.6,25.8,35.3,46.6,50,31,
961.2,1006.6,25.8,35.3,45.4,50,35.2,
960.8,1006.6,25.8,35.3,45.7,50,33.9,
959.3,1006.6,25.8,35.3,47.3,50,35.3,
958.6,1006.6,25.8,35.3,48,50,27.2,
958.7,1006.6,25.8,35.3,47.9,50,35.8,
958.4,1006.6,25.8,35.4,48.2,50,33.9,
959.6,1006.6,25.8,35.3,47,50,29.4,
959.6,1006.6,25.8,35.4,46.9,50,35.8,
957.8,1006.6,25.8,35.4,48.8,50,33.8,
958.8,1006.6,25.8,35.4,47.8,50,22.9,
958.1,1006.6,25.8,35.4,48.4,50,37.1,
958.6,1006.6,25.8,35.4,48,50,31.9,
958.1,1006.6,25.8,35.4,48.5,50,33,
957.4,1006.6,25.8,35.4,49.2,50,32.3,
957.6,1006.6,25.8,35.4,49,50,32.3,
957,1006.6,25.8,35.4,49.6,50,25.7,
958.3,1006.6,25.8,35.4,48.3,50,37.2,
958.3,1006.6,25.8,35.4,48.2,50,25.3,
958.4,1006.6,25.8,35.4,48.2,50,29.3,
958.3,1006.6,25.8,35.4,48.2,50,35.9,
956.7,1006.6,25.8,35.4,49.9,50,32.8,
957.8,1006.6,25.8,35.4,48.7,50,26.2,
958.4,1006.6,25.8,35.4,48.2,50,36.1,
957.4,1006.6,25.8,35.4,49.2,50,26.4,
958.1,1006.6,25.8,35.4,48.5,50,35.9,
957,1006.6,25.8,35.4,49.6,50,26.6,
958.4,1006.6,25.8,35.4,48.1,50,29.7,
958.1,1006.6,25.8,35.4,48.4,50,35.5,
956.4,1006.6,25.8,35.4,50.2,50,33.2,
957.7,1006.6,25.8,35.4,48.8,50,26.9,
957.7,1006.6,25.8,35.4,48.8,50,30,
958.4,1006.6,25.8,35.4,48.2,50,36.8,
957.1,1006.6,25.8,35.4,49.4,50,26.7,
958.3,1006.6,25.8,35.4,48.2,50,30.1,
958.2,1006.6,25.8,35.4,48.4,50,30.1,
957,1006.6,25.8,35.4,49.5,50,30.1,
958,1006.6,25.8,35.4,48.5,50,37.5,
956.5,1006.6,25.8,35.4,50.1,50,26.6,
957.9,1006.6,25.8,35.4,48.7,50,30.2,
957.2,1006.6,25.8,35.4,49.4,50,30.2,
958.2,1006.6,25.8,35.4,48.3,50,30.2,
957.3,1006.6,25.8,35.4,49.3,50,30.2,
958.1,1006.6,25.8,35.4,48.5,50,30.2,
958.3,1006.6,25.8,35.4,48.2,50,36.7,
957,1006.6,25.8,35.5,49.6,50,27.1,
958.1,1006.6,25.8,35.4,48.4,50,30.3,
