Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
992.4,1003.2,26.5,35.5,10.8,50,100,
980.2,1003.2,26.5,35.5,23,50,100,
967.9,1003.2,26.5,35.5,35.3,50,100,
964.2,1003.2,26.5,35.5,39,50,80.3,
956.5,1003.2,26.5,35.5,46.7,50,50.1,
956.1,1003.2,26.5,35.5,47.1,50,50.1,
956.3,1003.2,26.5,35.5,46.9,50,51.5,
954.4,1003.2,26.5,35.5,48.8,50,37.8,
950.8,1003.2,26.5,35.5,52.4,50,23.3,
953.3,1003.2,26.5,35.5,49.9,50,23.3,
952.9,1003.2,26.5,35.5,50.3,50,44.9,
952.3,1003.2,26.5,35.5,50.9,50,41.2,
951.5,1003.2,26.5,35.5,51.9,50,28.5,
951.2,1003.2,26.5,35.5,52,50,32.3,
950.5,1003.2,26.5,35.5,52.7,50,42.7,
950.8,1003.2,26.5,35.5,52.4,50,29,
951.3,1003.2,26.5,35.5,51.9,50,29.6,
952,1003.3,26.5,35.5,51.2,50,29.6,
951.8,1003.2,26.5,35.5,51.4,50,29.2,
951.2,1003.2,26.5,35.5,52,50,40.6,
951.7,1003.2,26.5,35.6,51.5,50,32.3,
952.3,1003.2,26.5,35.5,50.9,50,32.3,
951.8,1003.3,26.5,35.6,51.4,50,38.5,
950.9,1003.2,26.5,35.6,52.3,50,17.1,
951,1003.2,26.5,35.6,52.2,50,20.7,
952,1003.2,26.5,35.6,51.2,50,20.7,
952.1,1003.2,26.5,35.6,51.1,50,37.9,
952,1003.3,26.5,35.6,51.2,50,18.7,
953,1003.2,26.5,35.6,50.2,50,33.8,
952.1,1003.2,26.5,35.6,51.1,50,33.8,
951.2,1003.2,26.5,35.6,52,50,33.8,
951.8,1003.2,26.5,35.6,51.4,50,19.4,
952.4,1003.2,26.5,35.6,50.7,50,36.5,
951.2,1003.2,26.5,35.7,52,50,33.1,
950.7,1003.2,26.5,35.6,52.5,50,33.1,
951.7,1003.2,26.5,35.7,51.5,50,16.3,
951.5,1003.2,26.5,35.7,51.7,50,21.4,
952.6,1003.2,26.5,35.7,50.6,50,21.4,
952,1003.2,26.5,35.7,51.1,50,34.4,
953,1003.2,26.5,35.7,50.2,50,22.1,
953.5,1003.2,26.5,35.7,49.7,50,31.4,
953.2,1003.2,26.5,35.7,50,50,31.4,
952.9,1003.2,26.5,35.7,50.3,50,31.4,
952,1003.2,26.5,35.7,51.2,50,31.4,
952.9,1003.2,26.5,35.8,50.2,50,31.4,
951.8,1003.2,26.5,35.8,51.4,50,31.4,
951.8,1003.2,26.5,35.8,51.4,50,31.4,
952.2,1003.2,26.5,35.8,51,50,31.4,
951.1,1003.2,26.5,35.8,52.1,50,18,
952.2,1003.2,26.5,35.8,50.9,50,18,
952.3,1003.2,26.5,35.8,50.8,50,33.9,
953.4,1003.2,26.5,35.8,49.8,50,30.8,
953,1003.2,26.5,35.8,50.1,50,30.8,
951.8,1003.2,26.5,35.9,51.4,50,30.8,
952.6,1003.2,26.5,35.9,50.6,50,30.8,
953,1003.2,26.5,35.9,50.2,50,20.9,
953.1,1003.2,26.5,35.9,50,50,30.3,
953.8,1003.2,26.5,35.9,49.3,50,30.3,
953.5,1003.2,26.5,35.9,49.7,50,30.3,
952.4,1003.2,26.5,35.9,50.8,50,30.3,
952.3,1003.2,26.5,35.9,50.8,50,30.3,
953.7,1003.2,26.5,35.9,49.5,50,30.3,
953.3,1003.2,26.5,35.9,49.9,50,30.3,
952.6,1003.2,26.5,35.9,50.6,50,30.3,
952,1003.2,26.5,36,51.2,50,30.3,
953.4,1003.2,26.5,36,49.7,50,30.3,
952.3,1003.2,26.5,36,50.9,50,30.3,
952.9,1003.2,26.5,36,50.2,50,30.3,
951.9,1003.2,26.5,36,50.5,50,30.3,
953.2,1003.2,26.5,36,50,50,30.3,
952.3,1003.2,26.5,36,50.9,50,30.3,
953.3,1003.2,26.5,36,49.8,50,30.3,
951.9,1003.2,26.5,36,51.3,50,30.3,
952.9,1003.2,26.5,36,50.2,50,30.3,
952,1003.2,26.5,36.1,51.2,50,30.3,
953.1,1003.2,26.5,36,50.1,50,30.3,
952.3,1003.2,26.5,36.1,50.9,50,30.3,
953,1003.2,26.5,36.1,50.1,50,30.3,
952,1003.2,26.5,36.1,51.2,50,30.3,
952.9,1003.2,26.5,36.1,50.3,50,30.3,
952.8,1003.2,26.5,36.1,50.4,50,30.3,
952.6,1003.2,26.5,36.1,50.6,50,30.3,
951.9,1003.2,26.5,36.1,51.3,50,30.3,
953.1,1003.2,26.5,36.1,50,50,30.3,
953.3,1003.2,26.5,36.1,49.8,50,30.3,
953.1,1003.2,26.5,36.1,50,50,30.3,
951.9,1003.2,26.5,36.1,51.3,50,30.3,
953.1,1003.2,26.5,36.1,50.1,50,30.3,
952.8,1003.2,26.5,36.1,50.4,50,30.3,
952.3,1003.2,26.5,36.1,50.8,50,30.3,
952.8,1003.2,26.5,36.1,50.4,50,30.3,
952.6,1003.2,26.5,36.1,50.6,50,30.3,
953.2,1003.2,26.5,36.1,50,50,30.3,
952.2,1003.2,26.5,36.1,51,50,30.3,
953.4,1003.2,26.5,36.1,49.8,50,30.3,
953,1003.2,26.5,36.1,50.2,50,30.3,
953,1003.2,26.5,36.2,50.2,50,30.3,
951.9,1003.2,26.5,36.2,51.2,50,30.3,
953.4,1003.2,26.5,36.2,49.8,50,30.3,
952.3,1003.2,26.5,36.2,50.8,50,30.3,
952.6,1003.2,26.5,36.2,50.6,50,30.3,
951.9,1003.2,26.5,36.2,51.2,50,30.3,
953,1003.2,26.5,36.2,50.1,50,30.3,
952.2,1003.2,26.5,36.2,51,50,30.3,
953.2,1003.2,26.5,36.2,49.9,50,30.3,
952,1003.2,26.5,36.2,51.2,50,30.3,
953.1,1003.2,26.5,36.2,50.1,50,30.3,
952.3,1003.2,26.5,36.2,50.8,50,30.3,
953.1,1003.2,26.5,36.2,50,50,30.3,
952,1003.2,26.5,36.2,51.2,50,30.3,
953.2,1003.2,26.5,36.2,50,50,30.3,
952.1,1003.2,26.5,36.2,51,50,30.3,
952.4,1003.2,26.5,36.2,50.8,50,30.3,
953.2,1003.2,26.5,36.2,49.9,50,30.3,
953.3,1003.2,26.5,36.2,49.9,50,30.3,
952,1003.2,26.5,36.2,51.1,50,30.3,
952.3,1003.2,26.5,36.2,50.9,50,30.3,
953.6,1003.2,26.5,36.2,49.6,50,30.3,
953.3,1003.2,26.5,36.3,49.9,50,30.3,
952.1,1003.2,26.5,36.3,51.1,50,30.3,
952.5,1003.2,26.5,36.3,50.7,50,30.3,
953.1,1003.2,26.5,36.3,50,50,30.3,
952.9,1003.2,26.5,36.3,50.3,50,30.3,
952.2,1003.2,26.5,36.3,50.9,50,30.3,
952.8,1003.2,26.5,36.3,50.3,50,30.3,
953.2,1003.2,26.5,36.3,49.9,50,30.3,
953,1003.2,26.5,36.3,50.2,50,30.3,
952.4,1003.2,26.5,36.3,50.8,50,30.3,
953.2,1003.2,26.5,36.3,50,50,30.3,
952.7,1003.2,26.5,36.3,50.4,50,30.3,
953.5,1003.2,26.5,36.3,49.7,50,30.3,
952.4,1003.2,26.5,36.3,50.7,50,30.3,
953.5,1003.2,26.5,36.3,49.7,50,30.3,
952.3,1003.2,26.5,36.3,50.9,50,30.3,
953.5,1003.2,26.5,36.3,49.6,50,30.3,
952.5,1003.2,26.5,36.3,50.7,50,30.3,
953.3,1003.2,26.5,36.3,49.9,50,30.3,
952.7,1003.2,26.5,36.3,50.4,50,30.3,
953.5,1003.2,26.5,36.3,49.6,50,30.3,
952.5,1003.2,26.5,36.3,50.7,50,30.3,
952.9,1003.2,26.5,36.3,50.3,50,30.3,
953.4,1003.2,26.5,36.3,49.8,50,30.3,
953.2,1003.2,26.5,36.3,49.9,50,30.3,
952.4,1003.2,26.5,36.3,50.8,50,30.3,
952.5,1003.2,26.5,36.3,50.7,50,30.3,
953.4,1003.2,26.5,36.3,49.8,50,30.3,
952.9,1003.2,26.5,36.3,50.3,50,30.3,
953.4,1003.2,26.5,36.3,49.7,50,30.3,
952.4,1003.2,26.5,36.3,50.7,50,30.3,
953.5,1003.2,26.5,36.4,49.7,50,30.3,
952.5,1003.2,26.5,36.3,50.6,50,0,
