Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
983.9,1003,26.9,36.1,19.1,50,100,
971.2,1003,26.9,36.1,31.7,50,100,
961.7,1003,26.9,36.1,37.1,50,66.3,
955.3,1003,26.9,36.1,47.7,50,77.8,
952.8,1003,26.9,36.1,50.2,50,36.8,
952.5,1003,26.9,36.1,50.5,50,63,
948.2,1003,26.9,36.1,54.1,50,39.3,
947.3,1003,26.9,36.1,55.6,50,44.5,
945.3,1003,26.9,36.1,57.7,50,38.3,
946,1003,26.9,36.1,56.9,50,27.5,
945.7,1003,26.9,36.1,58,50,33.8,
943.8,1003,26.9,36.1,59.2,50,35.3,
944.3,1003,26.9,36.1,58.6,50,29.5,
944.7,1003,26.9,36.1,58.2,50,22.5,
944.4,1003,26.9,36.1,57.9,50,30.8,
944.9,1003,26.9,36.1,58,50,23.3,
944.8,1003,26.9,36.1,58.1,50,23,
944.7,1003,26.9,36.1,58.3,50,21.8,
946,1003,26.9,36.1,57.7,50,24.3,
945.1,1003,26.9,36.1,57.8,50,25,
945.8,1003,26.9,36.1,57.2,50,23.5,
946.2,1003,26.9,36.1,56.8,50,18.8,
946.2,1003,26.9,36.1,56.1,50,25,
947.4,1003,26.9,36.2,55.5,50,18.3,
946.9,1003,26.9,36.2,56,50,26.3,
947.4,1003,26.9,36.2,55.6,50,21.8,
948.3,1003,26.9,36.2,55.1,50,21.8,
948.3,1003,26.9,36.2,54.7,50,23,
948.4,1003,26.9,36.2,54.5,50,21.3,
948.1,1003,26.9,36.2,54.8,50,21.3,
949.1,1003,26.9,36.2,53.8,50,22.8,
949.1,1003,26.9,36.2,53.8,50,22.8,
949.5,1003,26.9,36.2,53.4,50,20.8,
949.5,1003,26.9,36.2,53.4,50,19,
949.4,1003,26.9,36.3,53.6,50,18.5,
950.1,1003,26.9,36.3,52.8,50,18.5,
950.5,1003,26.9,36.3,52.4,50,20.8,
950.8,1003,26.9,36.3,52.2,50,25,
950.7,1003,26.9,36.3,52.9,50,19,
950.8,1003,26.9,36.3,52.1,50,23.3,
950.8,1003,26.9,36.3,52.2,50,23.5,
951,1003,26.9,36.3,51.9,50,20.8,
950.9,1003,26.9,36.4,52.2,50,21.3,
951.5,1003,26.9,36.4,51.4,50,21.3,
951.6,1003,26.9,36.4,51.3,50,25.3,
951.4,1003,26.9,36.4,51.5,50,16.8,
952.1,1003,26.9,36.4,50.9,50,24.5,
952,1003,26.9,36.4,50.9,50,24.5,
951.5,1003,26.9,36.4,51.4,50,18.3,
952,1003,26.9,36.4,50.9,50,22.3,
951.6,1003,26.9,36.4,50.8,50,24.8,
951.4,1003,26.9,36.5,51.5,50,20.3,
951.7,1003,26.9,36.5,51.2,50,25.3,
952,1003,26.9,36.5,50.9,50,22.8,
951.5,1003,26.9,36.5,50.6,50,23.3,
952.9,1003,26.9,36.5,50.1,50,19,
952.1,1003,26.9,36.5,50.8,50,24.8,
952.6,1003,26.9,36.5,50.3,50,24.5,
952.8,1003,26.9,36.5,50.9,50,20.5,
952.2,1003,26.9,36.5,50.7,50,25.5,
952.6,1003,26.9,36.5,50.3,50,21.5,
952.6,1003,26.9,36.6,50.3,50,24.8,
952.2,1003,26.9,36.6,50.2,50,23.8,
952.4,1003,26.9,36.6,50.5,50,20.8,
952.6,1003,26.9,36.6,50.3,50,26,
952.8,1003,26.9,36.6,50.1,50,20.5,
952.7,1003,26.9,36.6,50.2,50,22.5,
952,1003,26.9,36.6,50.9,50,22.5,
952.8,1003,26.9,36.6,50.1,50,20.3,
953.1,1003,26.9,36.6,49.8,50,26.5,
952.1,1003,26.9,36.7,50.9,50,19.8,
953,1003,26.9,36.6,49.9,50,19.8,
952.5,1003,26.9,36.6,50.4,50,23.5,
953.2,1003,26.9,36.7,49.7,50,23.5,
952.2,1003,26.9,36.7,50,50,23.8,
953.2,1003,26.9,36.7,49.7,50,19.8,
953.1,1003,26.9,36.7,49.8,50,28.3,
952.5,1003,26.9,36.7,50.5,50,22.3,
953.3,1003,26.9,36.7,49.6,50,27,
953.2,1003,26.9,36.7,49.7,50,27,
953.3,1003,26.9,36.7,49.6,50,22.3,
952.9,1003,26.9,36.7,50,50,26,
952.5,1003,26.9,36.7,50.4,50,21,
952.4,1003,26.9,36.8,50.5,50,21,
952.8,1003,26.9,36.8,50.1,50,24.5,
953.1,1003,26.9,36.7,49.8,50,25.5,
952.3,1002.9,26.9,36.7,50.6,50,19.8,
953.3,1002.9,26.9,36.8,49.6,50,19.8,
953.3,1002.9,26.9,36.8,49.6,50,25.3,
952.3,1003,26.9,36.8,50.6,50,25.3,
953.4,1002.9,26.9,36.7,50.6,50,19.5,
953,1002.9,26.9,36.8,49.9,50,27.5,
952.5,1002.9,26.9,36.8,50.3,50,18.3,
953.7,1002.9,26.9,36.8,49.2,50,27.5,
953.3,1002.9,26.9,36.8,49.6,50,26.5,
953.6,1002.9,26.9,36.8,49.3,50,26.5,
953,1002.9,26.9,36.8,49.9,50,19,
953.7,1002.9,26.9,36.8,49.2,50,29.8,
953,1002.9,26.9,36.8,49.7,50,23,
953.1,1002.9,26.9,36.8,49.8,50,23.3,
